id,stage,requirement,scope,implementation,test,evidence,status,notes
S2-PERSONA-01,S2,"Takeover A/B scope and Judge/persistent-switch permissions","turn takeover and persistence","apps/core-go/internal/core/turn_takeover.go; persistent_switch_gate.go","evidence/tests/S2-adk-persona.txt","evidence/code/S2-adk-runtime.txt",BLOCKED,"Persistence-heavy takeover tests skip without GO_CORE_TEST_DATABASE_URL"
S2-PERSONA-02,S2,"Policy capability source is distinct and internal-only","persona takeover/switch","apps/core-go/internal/core/persona_policy_capability.go; tool_contract.go","evidence/tests/S2-adk-persona.txt; commands/010-core-full-test.txt","evidence/code/S2-adk-runtime.txt",PASS,"Static/unit permission matrix passes"
S2-DELIVERY-01,S2,"Settlement and single publish under real persistence","conversation delivery","apps/core-go/internal/core/mutations.go; cognition.go","evidence/tests/CROSS-db-integration.txt","evidence/tests/CROSS-db-integration.txt",BLOCKED,"All selected DB settlement tests skipped because GO_CORE_TEST_DATABASE_URL is absent"
S3-WAKEUP-01,S3,"WakeUp uses shared structured ADK runtime","WakeUp provider decision","apps/core-go/internal/core/wakeup.go; adk_conversation_runtime.go","evidence/tests/S3-wakeup-background.txt","evidence/code/S3-wakeup.txt",PASS,"WakeUp ADK surface/trace tests pass"
S3-CLASS-01,S3,"Background tasks not requiring loops remain independent","Daily Review/Reflection/Native Cognition/summary","apps/core-go/internal/core/model_tasks.go; adk_conversation_runtime.go","evidence/tests/S3-wakeup-background.txt","evidence/code/S3-wakeup.txt",PASS,"Schema matrix and background surface tests pass"
S3-PERM-01,S3,"Autonomy/freeze/intent/outbox side effects stay authorized","WakeUp/autonomy","apps/core-go/internal/core/wakeup.go; capability_runtime.go; workflow_ops.go","evidence/tests/S3-wakeup-background.txt; evidence/tests/CROSS-db-integration.txt","evidence/code/S3-wakeup.txt",BLOCKED,"L1 permission checks pass; DB side-effect/replay proof skipped"
S3-TEMPORAL-01,S3,"Worker/Temporal dispatch/retry/recovery remains operational","long-running background work","apps/core-go/internal/workflow; cmd/worker","commands/002-environment.txt; commands/010-core-full-test.txt",BLOCKED,"No isolated Temporal service/namespace available in this run"
S4-AUTH-01,S4,"Session/CSRF/Origin/CORS and logout/session expiry handling","browser public API","apps/core-go/internal/httpapi/browser/auth.go; routes.go; config.go","evidence/tests/S4-browser-api.txt; commands/012-core-vet-tidy-format.txt","evidence/code/S4-browser-api.txt",PASS,"Public boundary tests and startup origin validation pass"
S4-ROUTE-01,S4,"All browser operations reach API boundary and match OpenAPI","77 OpenAPI operations","apps/core-go/internal/httpapi/browser/routes.go; packages/browser-client/openapi.json","evidence/tests/S4-browser-api.txt; commands/014-generation-and-config.txt","evidence/tests/S4-browser-api.txt",PASS,"Route matrix and artifact inventory pass"
S4-NOFORWARD-01,S4,"No BFF HTTP client/self-forwarding path","API composition","apps/core-go/internal/httpapi/browser_backend.go; server.go","evidence/tests/S4-browser-api.txt; browser_backend_architecture_test.go","evidence/code/S4-browser-api.txt",PASS,"Architecture test rejects HTTP client/request forwarding"
S4-NDJSON-01,S4,"NDJSON translation/cancellation/redaction and media boundary","turn/media transport","apps/core-go/internal/httpapi/browser/ndjson.go; routes.go","evidence/tests/S4-browser-api.txt; ndjson tests","evidence/code/S4-browser-api.txt",PASS,"Deterministic protocol tests pass"
S4-CLIENT-01,S4,"Frontend/client/proxy/config all use API/same-origin entry","Web/Vite/Nginx/BrowserClient","apps/web; apps/web/nginx.conf; packages/browser-client","commands/013-web-and-client.txt; commands/014-generation-and-config.txt","evidence/code/S4-deployment.txt",PASS,"Build/type/lint/generation/config checks pass"
S4-DEPLOY-01,S4,"Compose/CI/Docker no longer depend on standalone BFF","deployment and CI","infra/compose; .github/workflows; apps/gateway-go absent","commands/014-generation-and-config.txt; commands/015-static-scan.txt","evidence/code/S4-deployment.txt",PASS,"Static deletion and Compose config pass; runtime smoke blocked"
S4-BROWSER-01,S4,"Real browser login -> read -> conversation -> output -> logout","L3 browser/deployment","Web Nginx + Core + isolated data","commands/002-environment.txt; commands/014-generation-and-config.txt",BLOCKED,"No disposable Compose/browser environment supplied"
CROSS-DB-01,CROSS,"Transactional rollback/idempotency/replay side effects","PostgreSQL/CAS/Outbox","apps/core-go/internal/core/*","evidence/tests/CROSS-db-integration.txt; commands/016-core-json-summary.txt","BLOCKED","194 individual Go test actions skipped across full suite; selected DB tests explicitly skipped"
CROSS-CANCEL-01,CROSS,"Foreground/background cancellation and queue lease release","API + Worker + provider queue","provider_queue.go; lifecycle_preemption.go","evidence/tests/S1-eino-prompt-queue.txt; evidence/tests/S3-wakeup-background.txt","PASS","Deterministic cancellation/lease tests pass; runtime Temporal cancellation blocked"
CROSS-OUTBOX-01,CROSS,"Outbox/Redis/Worker follow-up and duplicate delivery","durable event pipeline","apps/core-go/internal/platform/redis_pipeline.go; cmd/worker","commands/002-environment.txt; commands/016-core-json-summary.txt","BLOCKED","Redis/DB integration tests skip without isolated services"
CROSS-MODEL-01,CROSS,"Real model text/structured/tool/vision/embedding compatibility","L4 external providers","Eino factory and provider assignments","commands/002-environment.txt; evidence/tests/S1-eino-prompt-queue.txt",BLOCKED,"No authorized real model endpoints or budget supplied"
CROSS-EVIDENCE-01,CROSS,"Evidence package/report is complete and reproducible","Phase 5 deliverable","docs/verification/phase-5/20260919T200912+0800","commands/001-freeze.txt; commands/010-core-full-test.txt; commands/015-static-scan.txt",PASS,"Report, CSV, manifest and redacted code/test evidence generated"



